Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Jun 19, 2022",$0.308,$0.3305,$0.2989,$0.3261,"$1,159,418,572","$15,762,422,675",XRP
"Jun 18, 2022",$0.3213,$0.3257,$0.2906,$0.3081,"$1,403,189,628","$14,894,007,804",XRP
"Jun 17, 2022",$0.3121,$0.3385,$0.3112,$0.3214,"$1,381,554,091","$15,536,563,814",XRP
"Jun 16, 2022",$0.3437,$0.3454,$0.3084,$0.3121,"$1,477,710,114","$15,085,737,177",XRP
"Jun 15, 2022",$0.3221,$0.3448,$0.3007,$0.3437,"$2,242,860,490","$16,615,670,711",XRP
"Jun 14, 2022",$0.3108,$0.3235,$0.2952,$0.3221,"$1,977,069,964","$15,573,376,110",XRP
"Jun 13, 2022",$0.3454,$0.3489,$0.3039,$0.3108,"$2,558,939,154","$15,025,141,139",XRP
"Jun 12, 2022",$0.3591,$0.3647,$0.3416,$0.3455,"$1,370,072,145","$16,702,074,997",XRP
"Jun 11, 2022",$0.3818,$0.3881,$0.3586,$0.359,"$1,111,401,064","$17,356,403,264",XRP
"Jun 10, 2022",$0.4003,$0.4099,$0.3809,$0.3817,"$1,424,539,679","$18,454,292,632",XRP
"Jun 09, 2022",$0.4007,$0.4036,$0.3976,$0.4003,"$911,815,336","$19,352,904,030",XRP
"Jun 08, 2022",$0.4077,$0.4099,$0.3961,$0.4006,"$1,183,206,226","$19,368,563,789",XRP
"Jun 07, 2022",$0.403,$0.4165,$0.3858,$0.4077,"$1,666,703,798","$19,709,597,576",XRP
"Jun 06, 2022",$0.3954,$0.4085,$0.3949,$0.403,"$1,221,803,580","$19,482,794,691",XRP
"Jun 05, 2022",$0.3923,$0.3993,$0.3903,$0.3954,"$726,398,938","$19,113,884,341",XRP
"Jun 04, 2022",$0.3908,$0.3935,$0.3863,$0.3923,"$696,569,397","$18,965,420,646",XRP
"Jun 03, 2022",$0.4053,$0.4094,$0.3855,$0.3908,"$1,284,592,602","$18,890,841,706",XRP
"Jun 02, 2022",$0.3981,$0.4067,$0.3926,$0.4053,"$1,298,797,541","$19,593,540,143",XRP
"Jun 01, 2022",$0.4219,$0.4251,$0.3926,$0.3981,"$1,569,696,040","$19,244,684,532",XRP
"May 31, 2022",$0.4181,$0.4297,$0.4089,$0.4219,"$1,738,462,198","$20,394,341,358",XRP
"May 30, 2022",$0.389,$0.4187,$0.3876,$0.4182,"$1,404,448,305","$20,215,892,251",XRP
"May 29, 2022",$0.3863,$0.3895,$0.3808,$0.389,"$752,879,867","$18,806,261,248",XRP
"May 28, 2022",$0.3866,$0.3881,$0.3817,$0.3863,"$865,258,883","$18,676,059,698",XRP
"May 27, 2022",$0.3931,$0.4013,$0.3782,$0.3818,"$1,927,217,638","$18,456,779,481",XRP
"May 26, 2022",$0.4058,$0.4101,$0.3807,$0.3932,"$2,091,610,974","$19,007,056,733",XRP
"May 25, 2022",$0.4087,$0.413,$0.3968,$0.4058,"$1,587,278,448","$19,616,910,103",XRP
"May 24, 2022",$0.4047,$0.4133,$0.3936,$0.4087,"$1,394,251,522","$19,758,431,074",XRP
"May 23, 2022",$0.4223,$0.4278,$0.4044,$0.4047,"$1,399,019,792","$19,563,044,262",XRP
"May 22, 2022",$0.4147,$0.4243,$0.4111,$0.4223,"$896,133,087","$20,417,096,593",XRP
"May 21, 2022",$0.4111,$0.4173,$0.4054,$0.4147,"$875,738,315","$20,046,598,080",XRP
"May 20, 2022",$0.4199,$0.4375,$0.4032,$0.4111,"$1,721,877,559","$19,875,640,538",XRP
"May 19, 2022",$0.4061,$0.4224,$0.3975,$0.42,"$1,557,252,121","$20,302,962,987",XRP
"May 18, 2022",$0.4376,$0.4413,$0.4062,$0.4062,"$1,599,734,223","$19,635,318,935",XRP
"May 17, 2022",$0.4225,$0.4391,$0.4212,$0.4376,"$1,598,581,919","$21,156,072,907",XRP
"May 16, 2022",$0.4474,$0.4476,$0.4121,$0.4225,"$1,839,092,427","$20,424,915,692",XRP
"May 15, 2022",$0.4277,$0.4476,$0.4166,$0.4474,"$1,427,697,924","$21,627,310,018",XRP
"May 14, 2022",$0.4234,$0.4395,$0.3987,$0.4278,"$2,021,953,522","$20,679,924,723",XRP
"May 13, 2022",$0.3852,$0.4623,$0.3827,$0.4234,"$2,949,331,810","$20,469,313,382",XRP
"May 12, 2022",$0.4134,$0.4265,$0.345,$0.3852,"$4,641,055,357","$18,622,029,266",XRP
"May 11, 2022",$0.5135,$0.5216,$0.3824,$0.4134,"$5,290,247,987","$19,983,884,939",XRP
"May 10, 2022",$0.4924,$0.5353,$0.4781,$0.5136,"$3,455,777,036","$24,830,250,477",XRP
"May 09, 2022",$0.5665,$0.576,$0.4807,$0.4929,"$3,297,478,002","$23,830,261,964",XRP
"May 08, 2022",$0.5824,$0.5826,$0.5628,$0.5665,"$1,505,054,300","$27,387,673,912",XRP
"May 07, 2022",$0.6026,$0.6038,$0.5739,$0.5823,"$1,250,412,025","$28,152,438,113",XRP
"May 06, 2022",$0.5988,$0.6135,$0.5916,$0.6026,"$2,003,273,389","$29,130,104,990",XRP
"May 05, 2022",$0.6465,$0.655,$0.5848,$0.5989,"$2,183,469,244","$28,951,984,894",XRP
"May 04, 2022",$0.6048,$0.6478,$0.6047,$0.6465,"$1,959,359,438","$31,252,541,255",XRP
"May 03, 2022",$0.6142,$0.6251,$0.5982,$0.6048,"$1,460,418,466","$29,130,203,226",XRP
"May 02, 2022",$0.6078,$0.6293,$0.6018,$0.6143,"$1,687,184,077","$29,549,544,283",XRP
"May 01, 2022",$0.5871,$0.6102,$0.581,$0.6078,"$1,657,999,135","$29,240,494,806",XRP
"Apr 30, 2022",$0.6114,$0.6271,$0.5816,$0.5871,"$1,649,221,930","$28,242,161,687",XRP
"Apr 29, 2022",$0.6443,$0.6456,$0.6039,$0.6114,"$1,962,197,662","$29,411,859,157",XRP
"Apr 28, 2022",$0.6523,$0.6553,$0.6363,$0.6444,"$1,546,067,106","$30,997,252,970",XRP
"Apr 27, 2022",$0.6418,$0.6614,$0.6404,$0.6523,"$1,722,422,062","$31,379,920,579",XRP
"Apr 26, 2022",$0.6943,$0.7041,$0.6344,$0.6417,"$2,160,649,427","$30,869,089,729",XRP
"Apr 25, 2022",$0.6988,$0.6989,$0.6482,$0.6944,"$2,377,291,271","$33,405,523,904",XRP
"Apr 24, 2022",$0.7075,$0.7118,$0.698,$0.6987,"$1,108,217,932","$33,613,015,003",XRP
"Apr 23, 2022",$0.7191,$0.7247,$0.7074,$0.7077,"$1,332,520,641","$34,044,327,572",XRP
"Apr 22, 2022",$0.7332,$0.7382,$0.7165,$0.7192,"$1,881,203,798","$34,597,013,609",XRP
"Apr 21, 2022",$0.7522,$0.7648,$0.725,$0.7332,"$1,990,297,103","$35,269,702,729",XRP
"Apr 20, 2022",$0.7751,$0.7751,$0.7444,$0.7522,"$1,798,898,557","$36,183,721,880",XRP
"Apr 19, 2022",$0.768,$0.7802,$0.76,$0.7751,"$1,834,225,828","$37,284,568,266",XRP
"Apr 18, 2022",$0.7532,$0.7682,$0.7324,$0.768,"$2,134,418,883","$36,968,648,414",XRP
"Apr 17, 2022",$0.7818,$0.7844,$0.7506,$0.7532,"$1,350,930,297","$36,253,212,424",XRP
"Apr 16, 2022",$0.7857,$0.7971,$0.7692,$0.7818,"$1,526,957,904","$37,634,094,415",XRP
"Apr 15, 2022",$0.7268,$0.7937,$0.7266,$0.7857,"$2,897,060,464","$37,818,615,459",XRP
"Apr 14, 2022",$0.7237,$0.7402,$0.7106,$0.7268,"$1,716,488,200","$34,985,591,016",XRP
"Apr 13, 2022",$0.7165,$0.7248,$0.704,$0.7238,"$1,678,860,044","$34,842,663,677",XRP
"Apr 12, 2022",$0.6952,$0.7216,$0.6943,$0.7166,"$1,990,027,592","$34,494,341,129",XRP
"Apr 11, 2022",$0.7564,$0.7564,$0.6857,$0.695,"$2,367,700,413","$33,455,057,716",XRP
"Apr 10, 2022",$0.7636,$0.7725,$0.7552,$0.7566,"$1,046,936,968","$36,419,765,610",XRP
"Apr 09, 2022",$0.754,$0.7661,$0.754,$0.7636,"$1,008,306,245","$36,755,308,793",XRP
"Apr 08, 2022",$0.788,$0.793,$0.7509,$0.7541,"$1,684,019,539","$36,296,665,540",XRP
"Apr 07, 2022",$0.7614,$0.7895,$0.7581,$0.788,"$1,628,783,831","$37,930,537,445",XRP
"Apr 06, 2022",$0.8176,$0.8184,$0.7613,$0.7613,"$2,527,126,540","$36,645,998,001",XRP
"Apr 05, 2022",$0.8272,$0.8333,$0.8171,$0.8176,"$1,548,706,718","$39,357,366,402",XRP
"Apr 04, 2022",$0.8429,$0.843,$0.8109,$0.8273,"$1,876,069,127","$39,819,890,699",XRP
"Apr 03, 2022",$0.8249,$0.8502,$0.8173,$0.843,"$1,348,476,817","$40,575,582,678",XRP
"Apr 02, 2022",$0.8277,$0.8486,$0.8248,$0.8249,"$1,624,227,101","$39,707,657,921",XRP
"Apr 01, 2022",$0.8147,$0.8337,$0.8103,$0.8277,"$2,091,887,103","$39,843,448,345",XRP
"Mar 31, 2022",$0.8609,$0.8709,$0.8039,$0.8146,"$2,611,691,934","$39,198,153,818",XRP
